temp_c,precip_mm,humidity,pressure_mb,wind_kph,cloud,dewpoint_c,feelslike_c,vis_km,gust_kph,condition,dewpoint_depression,hour,condition_encoded
24.9,0.0,87,1013.0,5.4,100,22.6,27.4,10.0,8.1,Overcast,2.299999999999997,20,7
26.2,0.0,88,1006.0,5.4,45,23.9,29.5,10.0,8.7,Partly cloudy,2.3000000000000007,19,2
31.0,0.0,65,1009.0,14.0,23,23.5,36.1,10.0,21.0,Sunny,7.5,11,8
20.2,0.0,85,1016.0,7.1,100,17.6,22.2,10.0,11.6,Overcast,2.599999999999998,1,7
26.9,0.0,84,1007.0,8.3,28,24.0,30.6,10.0,13.1,Partly cloudy,2.8999999999999986,23,2
25.4,0.0,89,1007.0,8.0,29,23.5,28.4,10.0,15.6,Partly cloudy,1.8999999999999984,23,2
28.2,0.0,78,1007.0,5.8,28,23.3,31.9,10.0,16.4,Partly cloudy,4.899999999999999,7,2
19.0,0.9,81,1017.0,10.4,100,15.6,21.0,10.0,16.6,Moderate rain at times,3.4000000000000004,23,6
26.0,0.0,76,1013.0,13.3,8,21.4,28.2,10.0,15.3,Sunny,4.600000000000001,11,8
20.0,0.3,75,1016.0,2.2,72,15.6,22.0,10.0,10.9,Patchy rain possible,4.4,10,0
23.2,0.1,88,1014.0,1.4,100,21.2,25.4,2.0,5.8,Patchy rain possible,2.0,9,0
25.4,1.0,84,1015.0,15.5,93,22.5,27.9,10.0,24.2,Heavy rain at times,2.8999999999999986,11,5
23.7,0.7,89,1014.0,3.6,100,21.7,25.9,10.0,6.0,Moderate rain at times,2.0,6,6
24.0,0.4,76,1015.0,6.8,57,19.4,25.8,10.0,23.7,Patchy rain possible,4.600000000000001,14,0
20.3,0.36,87,1016.0,11.5,100,18.2,22.4,10.0,15.8,Light rain shower,2.1000000000000014,18,9
23.8,0.0,91,1011.0,7.2,26,22.3,26.1,10.0,8.0,Partly cloudy,1.5,23,2
25.6,4.34,94,1000.0,12.1,100,24.3,29.0,7.0,19.2,Moderate or heavy rain shower,1.3000000000000007,17,4
18.6,0.0,88,1016.0,6.1,93,16.6,20.6,10.0,9.7,Overcast,2.0,5,7
25.4,0.0,89,1002.0,7.4,25,23.4,28.3,10.0,15.6,Clear,2.0,1,3
24.6,0.0,85,1009.0,6.1,70,21.9,26.9,10.0,9.0,Cloudy,2.700000000000003,21,1
24.6,0.0,68,1016.0,7.2,41,18.4,26.1,10.0,8.3,Partly cloudy,6.200000000000003,9,2
24.8,0.48,88,1015.0,10.4,89,22.8,27.4,10.0,14.7,Light rain shower,2.0,11,9
26.5,0.0,82,1005.0,6.1,22,23.1,29.6,10.0,9.3,Sunny,3.3999999999999986,7,8
27.1,0.0,76,1008.0,9.4,42,22.4,29.9,10.0,12.6,Partly cloudy,4.700000000000003,7,2
26.1,0.9,88,1003.0,10.8,56,24.0,29.5,10.0,17.7,Moderate rain at times,2.1000000000000014,20,6
22.7,0.0,83,1019.0,8.3,99,16.3,24.8,10.0,22.2,Overcast,6.399999999999999,12,7
23.0,1.5,94,1019.0,11.5,100,20.9,25.4,10.0,22.2,Moderate or heavy rain shower,2.1000000000000014,12,4
26.4,0.0,85,1008.0,6.1,20,23.7,29.7,10.0,9.0,Sunny,2.6999999999999997,7,8
19.8,0.1,81,1015.0,5.0,67,16.4,21.8,10.0,7.9,Patchy rain possible,3.400000000000002,22,0
30.4,0.4,69,1007.0,16.2,85,24.1,35.7,10.0,23.9,Patchy rain possible,6.299999999999997,14,0
26.8,0.0,86,1008.0,2.9,90,24.2,30.6,10.0,4.4,Overcast,2.6000000000000014,19,7
25.3,0.0,86,1005.0,6.8,14,22.3,27.9,10.0,8.7,Clear,3.0,19,3
23.3,14.51,98,997.0,11.0,100,23.0,25.9,5.0,19.5,Moderate or heavy rain shower,0.3000000000000007,1,4
27.4,0.0,79,1005.0,10.1,17,23.5,31.0,10.0,15.7,Sunny,3.899999999999999,7,8
24.7,0.0,91,1011.0,6.8,34,23.1,27.4,10.0,12.3,Partly cloudy,1.599999999999998,22,2
25.3,0.0,86,1010.0,6.9,15,22.8,27.9,10.0,12.8,Sunny,2.5,6,8
30.8,0.0,76,1004.0,10.8,78,25.3,37.5,9.0,17.4,Cloudy,5.5,14,1
20.2,1.5,90,1018.0,11.5,100,18.6,22.2,10.0,17.0,Moderate or heavy rain shower,1.599999999999998,0,4
25.8,0.0,86,1002.0,6.8,25,23.2,28.7,10.0,8.4,Clear,2.6000000000000014,4,3
24.1,0.1,91,1013.0,5.4,84,22.5,26.5,10.0,9.4,Patchy rain possible,1.6000000000000014,0,0
29.3,0.1,73,1010.0,11.9,72,24.0,34.0,10.0,18.5,Patchy rain possible,5.300000000000001,13,0
25.0,0.0,91,1009.0,5.8,20,23.4,27.8,10.0,9.5,Clear,1.6000000000000014,1,3
24.3,0.0,90,1010.0,4.5,21,22.7,26.8,10.0,9.7,Clear,1.6000000000000014,21,3
26.6,0.0,84,1002.0,8.6,92,23.8,30.1,10.0,16.4,Overcast,2.8000000000000007,19,7
26.1,0.0,89,1009.0,5.2,28,24.0,29.5,10.0,10.9,Partly cloudy,2.1000000000000014,1,2
24.2,0.0,75,1011.0,11.9,13,19.5,25.9,10.0,18.7,Sunny,4.699999999999999,16,8
26.8,0.1,84,1010.0,8.3,80,23.9,30.4,10.0,12.3,Patchy rain possible,2.900000000000002,17,0
25.2,0.0,88,1009.0,2.5,38,23.1,28.0,10.0,7.5,Partly cloudy,2.099999999999998,7,2
21.6,0.5,97,1014.0,7.2,100,21.2,23.6,0.0,11.0,Moderate rain at times,0.4000000000000021,6,6
21.0,0.0,88,1016.0,6.1,13,19.0,23.0,10.0,9.9,Clear,2.0,19,3
20.2,0.2,89,1018.0,2.5,100,18.3,22.2,10.0,3.8,Patchy rain possible,1.8999999999999984,1,0
26.4,0.0,83,1008.0,5.0,59,23.4,29.6,10.0,9.5,Partly cloudy,3.0,21,2
23.2,0.0,91,1013.0,5.4,20,21.7,25.5,10.0,9.9,Clear,1.5,23,3
22.0,0.3,95,1016.0,4.3,100,21.1,24.0,2.0,5.8,Patchy rain possible,0.8999999999999986,9,0
27.4,0.0,83,1005.0,9.7,85,24.2,31.4,9.0,15.6,Overcast,3.1999999999999997,19,7
26.2,0.0,86,1008.0,6.9,52,23.9,29.6,10.0,13.6,Partly cloudy,2.3000000000000007,23,2
25.8,0.0,85,1005.0,7.6,47,23.2,28.7,10.0,9.9,Partly cloudy,2.6000000000000014,2,2
22.8,0.4,91,1012.0,4.2,100,21.2,25.1,10.0,7.6,Patchy rain possible,1.6000000000000014,5,0
26.3,0.0,88,1009.0,5.2,20,23.7,30.0,10.0,7.5,Clear,2.6000000000000014,22,3
28.0,0.0,71,1000.0,8.7,28,22.3,31.0,10.0,16.6,Partly cloudy,5.699999999999999,23,2
24.3,0.0,85,1010.0,8.3,16,21.6,26.5,10.0,10.3,Sunny,2.6999999999999997,6,8
27.9,1.32,85,1009.0,10.8,77,24.1,32.2,7.0,16.7,Heavy rain at times,3.799999999999997,19,5
26.1,0.0,83,1005.0,9.0,5,23.0,29.0,10.0,11.5,Clear,3.1000000000000014,4,3
20.2,0.7,94,1021.0,11.5,100,19.2,22.2,10.0,16.1,Moderate rain at times,1.0,18,6
29.4,0.1,78,1009.0,10.4,71,23.3,35.1,5.0,16.1,Patchy rain possible,6.099999999999998,9,0
26.4,0.0,88,1004.0,7.6,70,24.2,30.1,10.0,14.7,Cloudy,2.1999999999999997,20,1
21.2,0.0,84,1015.0,12.2,100,18.5,23.2,10.0,21.6,Overcast,2.6999999999999997,18,7
20.2,0.0,84,1017.0,9.7,66,17.5,22.2,10.0,20.5,Cloudy,2.6999999999999997,18,1
26.0,0.0,84,1012.0,8.3,83,23.1,28.8,9.0,15.2,Cloudy,2.8999999999999986,16,1
19.1,0.0,80,1025.0,15.6,84,15.6,21.1,10.0,26.2,Cloudy,3.5000000000000018,20,1
21.9,0.4,97,1017.0,3.2,100,21.4,23.9,10.0,4.5,Patchy rain possible,0.5,18,0
19.2,0.6,85,1018.0,11.2,100,16.6,21.2,10.0,16.3,Moderate rain at times,2.599999999999998,6,6
20.2,0.7,92,1018.0,14.0,97,18.8,22.2,10.0,26.7,Moderate rain at times,1.3999999999999986,0,6
24.9,0.0,78,1012.0,14.4,66,20.7,26.8,10.0,27.7,Cloudy,4.199999999999999,17,1
24.5,0.0,85,1006.0,6.1,19,21.7,26.7,10.0,12.7,Clear,2.8000000000000007,3,3
29.4,0.0,74,1002.0,15.5,81,24.4,34.5,9.0,18.0,Cloudy,5.0,14,1
21.9,0.0,97,1013.0,5.4,94,21.3,23.9,2.0,8.4,Overcast,0.5999999999999979,23,7
26.1,0.0,87,1003.0,6.5,20,23.7,29.4,10.0,13.4,Clear,2.400000000000002,0,3
23.1,0.2,89,1011.0,9.4,61,21.3,25.3,10.0,15.3,Patchy rain possible,1.8000000000000007,3,0
23.7,0.1,89,1012.0,4.3,78,21.9,26.0,10.0,7.2,Patchy rain possible,1.8000000000000007,2,0
23.9,2.5,93,1011.0,14.4,100,22.8,26.4,10.0,26.7,Moderate or heavy rain shower,1.099999999999998,1,4
19.2,0.0,85,1017.0,11.9,100,16.5,21.2,10.0,16.7,Overcast,2.6999999999999997,1,7
25.2,0.0,89,1007.0,5.8,11,23.4,28.1,10.0,9.9,Clear,1.8000000000000007,5,3
18.9,0.0,91,1023.0,12.6,100,17.4,20.9,10.0,17.3,Overcast,1.5,22,7
26.5,0.0,88,1007.0,3.6,20,24.4,30.4,10.0,5.9,Clear,2.1000000000000014,23,3
21.6,0.1,92,1021.0,9.0,100,20.2,23.6,2.0,19.1,Patchy rain possible,1.400000000000002,13,0
24.7,0.1,91,1011.0,4.3,76,23.1,27.3,10.0,7.1,Patchy rain possible,1.599999999999998,1,0
23.0,0.0,86,1014.0,13.3,48,20.5,25.2,10.0,21.3,Partly cloudy,2.5,19,2
21.1,0.2,91,1017.0,5.8,100,19.6,23.1,10.0,9.3,Patchy rain possible,1.5,5,0
21.5,0.4,86,1016.0,11.3,100,19.0,23.5,10.0,17.5,Patchy rain possible,2.5,5,0
21.5,0.0,88,1008.0,7.6,13,20.1,23.5,10.0,12.9,Clear,1.3999999999999986,1,3
20.4,0.2,93,1012.0,5.8,88,19.2,22.4,10.0,10.5,Patchy rain possible,1.1999999999999993,5,0
27.7,0.0,70,1004.0,7.6,67,21.7,30.4,10.0,15.1,Cloudy,6.0,4,1
27.2,0.0,75,1002.0,11.2,48,22.5,30.2,10.0,15.6,Partly cloudy,4.699999999999999,4,2
24.1,0.0,91,1011.0,5.0,22,22.6,26.6,10.0,8.5,Clear,1.5,5,3
27.4,0.0,87,1003.0,8.2,30,24.9,32.0,10.0,16.8,Partly cloudy,2.5,23,2
20.6,0.0,90,1009.0,6.5,2,18.9,22.6,10.0,11.0,Clear,1.7000000000000028,18,3
22.4,0.9,85,1015.0,7.6,64,19.8,24.7,10.0,9.9,Moderate rain at times,2.599999999999998,16,6
22.3,0.0,92,1006.0,6.8,100,20.9,24.8,9.0,10.2,Overcast,1.400000000000002,19,7
21.9,0.0,94,1007.0,6.5,25,20.9,23.9,10.0,8.3,Clear,1.0,4,3
24.6,0.0,66,1016.0,11.2,10,17.9,26.1,10.0,17.2,Sunny,6.700000000000003,12,8
24.9,0.0,88,1007.0,7.9,34,22.8,27.5,10.0,13.7,Partly cloudy,2.099999999999998,5,2
